Fixed Battery Voltage,Portable Battery Voltage,Portable Battery Current,Fixed Battery Current,Motor Status,BCM Battery Selected,Portable Battery Temperature,Fixed Battery Temperature,Effective SOC
11.87270059,11.9681776,-1.263591815,-0.003297563,1,1,26.84741679,37.76289137,51
14.75357153,12.3671783,-1.670879038,2.467467725,1,0,26.21507459,34.18584907,51.7
13.65996971,14.27273697,-3.238460875,0.626667807,1,0,37.08383901,44.2899705,49.1
12.99329242,11.70002193,1.072666701,-4.166974169,0,0,44.32232645,29.37956902,48.7
10.7800932,14.34824842,-0.233758395,-3.144197632,0,0,35.05442618,36.75712832,48.2
10.7799726,10.44067215,3.657009923,-2.80671816,0,1,26.03030452,39.0042003,50.7
10.29041806,13.88399219,-4.678904195,-2.421357464,1,0,29.42437312,41.51128979,50.4
14.33088073,14.23773817,1.438679276,0.65403392,0,1,29.89585813,33.13942061,49.4
13.00557506,10.90908826,2.629488785,0.039657798,1,1,31.75714258,38.73843815,49.9
13.54036289,12.15173266,2.594865692,-2.968399616,0,0,25.87206767,31.06402943,51.6
10.10292247,10.82749887,3.860739671,-4.324451565,0,0,43.09785401,33.70952185,47.2
14.84954926,13.53302064,2.290337428,-3.285677955,0,0,35.31127889,42.91254262,49.9
14.1622132,12.67673884,4.278100616,4.843813126,0,0,38.41861586,43.99815219,46.3
11.06169555,13.17661673,-1.673434002,-0.314530502,1,0,26.34345674,39.37634694,50.3
10.90912484,10.98243483,0.032094168,3.673455047,0,1,26.08230936,32.48703782,49.6
10.91702255,11.05872931,-4.859203367,3.487524667,0,0,36.72935544,41.4011558,49
11.52121121,10.20748663,-4.930424127,0.115195575,1,1,42.74592021,25.51734163,49.6
12.62378216,11.61033768,-2.598733795,2.066877085,1,1,35.56964002,27.05491821,49.6
12.15972509,12.79872331,-3.991928029,-3.072479896,0,0,42.55638345,38.22747473,49.3
11.4561457,14.28967457,-2.397886321,1.883967049,0,1,41.21982546,30.82497151,46.5
13.05926447,13.33463724,-3.229567055,-2.276154207,1,1,26.51707572,44.02772437,52.2
10.6974693,12.17698162,-4.714799752,3.320620968,1,1,29.03914949,33.72121224,49.9
11.46072324,14.76560057,4.093041464,-4.162758669,0,1,38.15421338,33.58729641,46.7
11.83180922,13.596226,-4.917768686,2.731386729,1,1,33.87002765,38.5615902,49
12.28034992,14.65082601,2.360821443,-4.000630934,1,0,30.81399627,40.35137125,49.1
13.92587981,12.63793987,-3.478521131,3.811892369,0,0,33.37267712,34.51117476,49.9
10.99836891,11.29452137,4.12229622,-1.957954819,0,0,33.90399293,29.28001803,48.4
12.57117219,10.26413343,3.927959396,1.543933648,0,1,43.21104502,40.46617285,46.9
12.96207284,13.63042426,1.539011464,-0.124977214,1,1,27.06916567,31.4070255,49.8
10.23225206,10.60651499,1.722341498,-1.336968547,0,0,30.59461494,28.50221539,49.6
13.03772426,11.51387564,-4.94660858,1.454418332,0,1,35.75129633,37.6328038,50.7
10.85262062,12.66235454,4.848715661,4.475229806,0,1,38.96573853,26.80907334,44.5
10.32525796,12.82208294,3.778326036,-4.587302526,1,1,37.61274578,44.4270535,47.5
14.74442769,13.00291598,3.951062257,4.188528559,0,1,43.83285475,37.64794529,45.7
14.82816017,10.83127665,1.592445371,1.09081655,0,1,40.9121785,44.71791042,49
14.04198674,11.89868702,-1.552130713,3.073143008,1,0,36.14153684,31.77786847,49.4
11.52306885,13.08597114,3.936486491,-1.161250466,1,0,29.29365383,44.42410322,48.5
10.48836057,14.84909432,-2.084830718,-0.281570252,0,1,34.01748463,27.91124495,47.7
13.42116513,13.63815569,0.627115433,3.688507518,0,0,38.86764488,25.81389545,46.8
12.20076247,14.61301879,-4.002690277,-0.851520302,0,0,41.7592435,25.65968121,47.9
10.61019117,13.81106029,4.219556301,0.346595667,1,1,44.19472449,34.29740741,44.2
